Employee_ID,Name,Age,Department,Salary,Experience_Years,City,Performance_Score,Email,Joining_Date
EMP1039,James King,,UnknownDept,,five,Ahmedabad,-3.0,,32-13-2024
EMP1040,Katrina Daniels,,UnknownDept,,five,Delhi,15.0,,32-13-2024
EMP1041,Matthew Lin,,Sales,63660.18,,Pune,-3.0,michelle52@delacruz-noble.com,32-13-2024
EMP1042,David Reyes,,,N/A,five,,10.0,karen45@yahoo.com,32-13-2024
EMP1043,Angela Bryant MD,,Marketing,477180.87,,???,,invalid_email,2020-03-25
EMP1044,Dalton Joseph,,,N/A,,Mumbai,10.0,jacksonmatthew@yahoo.com,
EMP1045,Jennifer Harmon,45,Support,,-1,Chennai,-3.0,invalid_email,32-13-2024
EMP1046,Charles Parker,,IT,128538.42,,Pune,2.0,thomasarcher@yahoo.com,2019-11-17
EMP1047,Deborah Myers,57,Support,51010.84,,Ahmedabad,15.0,,
EMP1048,Emily Reed,25,HR,145413.7,five,Pune,,zklein@hotmail.com,
EMP1049,Jessica Macdonald,Unknown,Support,98053.51,five,Mumbai,6.0,invalid_email,32-13-2024
EMP1050,Jennifer Sanders,,Marketing,321436.7,,,,invalid_email,32-13-2024
EMP1051,Nathan Silva,,,61899.6,five,Chennai,-3.0,david68@wright-wilson.com,32-13-2024
EMP1052,Megan Jackson,38,IT,,-1,Pune,15.0,william06@oconnell.com,2021-05-31
EMP1053,Nicholas Roberts,,HR,127758.73,five,Bangalore,8.0,ialvarado@gmail.com,32-13-2024
EMP1054,Mark Williams,,Marketing,,-1,Bangalore,-3.0,invalid_email,2020-09-25
EMP1055,Paul Erickson,Unknown,Marketing,N/A,,Delhi,15.0,lopezdanielle@yahoo.com,32-13-2024
EMP1056,Carrie Klein,,Sales,N/A,8,,15.0,rubenfrank@hotmail.com,2022-09-25
EMP1057,Thomas Rios,,HR,N/A,-1,???,8.0,invalid_email,2022-01-24
EMP1058,Cristina May,Unknown,Finance,,,???,-3.0,invalid_email,32-13-2024
EMP1059,Blake Rios,Unknown,Marketing,148704.06,19,Delhi,,robert36@gmail.com,2021-12-31
EMP1060,Stanley Morgan,Unknown,Finance,11311.1,five,Bangalore,5.0,,32-13-2024
EMP1061,Anthony Dennis,47,Sales,N/A,13,Bangalore,,omitchell@yahoo.com,2017-10-16
EMP1062,Gary Mayer,21,,,14,Bangalore,15.0,,
EMP1063,James Smith,,IT,29531.78,-1,Delhi,15.0,john15@gmail.com,
EMP1064,Stacey Shah,Unknown,UnknownDept,,18,Bangalore,-3.0,perezjustin@hotmail.com,
EMP1065,Maria Campbell,Unknown,HR,484837.07,five,Ahmedabad,15.0,invalid_email,32-13-2024
EMP1066,Troy Marshall,,Support,106135.86,14,Delhi,15.0,invalid_email,
EMP1067,Emily Wolf,Unknown,UnknownDept,133017.77,-1,Mumbai,-3.0,sergiohuff@gmail.com,32-13-2024
EMP1068,William Rhodes,53,Sales,224676.89,3,Bangalore,,,2020-07-18
EMP1069,John Williams,,Marketing,32117.2,14,Bangalore,-3.0,invalid_email,32-13-2024
EMP1070,Sarah Jenkins,48,,N/A,,Chennai,15.0,,32-13-2024
EMP1071,Philip Jackson,,Support,420363.2,five,Chennai,-3.0,,
EMP1072,Philip Sawyer,,IT,N/A,five,Chennai,-3.0,,32-13-2024
EMP1073,Tracy Holland,,HR,N/A,15,,15.0,jacob90@navarro.com,
EMP1074,Margaret Wood,47,,N/A,five,Delhi,15.0,invalid_email,
EMP1075,Charles Thompson,,Finance,317131.6,17,Bangalore,10.0,megancastillo@yahoo.com,
EMP1076,Jennifer Moore,,IT,147183.9,,Chennai,5.0,vturner@gmail.com,32-13-2024
EMP1077,Nathan Kennedy,,HR,129656.74,,???,,,
EMP1078,David Valdez,,IT,80127.68,-1,,15.0,invalid_email,
EMP1079,Ronald Baldwin,52,Marketing,,five,Pune,-3.0,invalid_email,32-13-2024
EMP1080,Becky Brown,24,Marketing,,-1,Mumbai,-3.0,,
EMP1081,Steven Garcia,Unknown,Finance,,,Pune,15.0,,32-13-2024
EMP1082,Gregory Whitehead,Unknown,Sales,128983.83,five,Delhi,15.0,invalid_email,32-13-2024
EMP1083,Seth Newman,44,UnknownDept,,-1,Bangalore,15.0,,32-13-2024
EMP1084,Robert Ferguson,,HR,N/A,five,???,15.0,christopher25@brown-montes.biz,32-13-2024
EMP1085,Victoria Adams,52,Finance,,five,,6.0,guerrachristopher@yahoo.com,
EMP1086,Christina Gomez,,HR,138983.27,five,Ahmedabad,-3.0,stephanie87@hawkins-hess.com,2020-08-29
EMP1087,Shari Thomas,,Sales,N/A,five,???,-3.0,,2018-12-20
EMP1088,James Dodson,Unknown,UnknownDept,73055.07,-1,Pune,-3.0,invalid_email,2019-03-09
EMP1089,Wendy Taylor,Unknown,UnknownDept,137220.51,-1,Delhi,4.0,,2020-05-26
EMP1090,Tiffany Maynard,Unknown,HR,,,Pune,,,2022-03-11
EMP1091,Kimberly Larson,,Sales,120667.92,,Delhi,15.0,,2024-05-16
EMP1092,Randy Beck,26,Sales,,,???,5.0,,2022-02-10
EMP1093,James Flores,,Marketing,78275.78,,,10.0,,2023-02-26
EMP1094,Virginia Williams,,Support,130148.81,five,Ahmedabad,2.0,wrodriguez@martinez.biz,2018-05-04
EMP1095,Robert Martin,Unknown,HR,,-1,Delhi,-3.0,,
EMP1096,Whitney Gutierrez,Unknown,,N/A,-1,Delhi,-3.0,invalid_email,32-13-2024
EMP1097,Isabella Wells,Unknown,,477260.33,2,Delhi,2.0,,
EMP1098,Joshua Miller,41,,,21,Mumbai,15.0,invalid_email,
EMP1099,Kristin Rice,,Support,N/A,five,Chennai,4.0,daniel12@green-wyatt.com,32-13-2024
EMP1100,Cheryl Mason,54,Marketing,124938.78,-1,Bangalore,,invalid_email,32-13-2024
EMP1101,Danielle Clark,18,Finance,287497.34,,???,1.0,invalid_email,32-13-2024
EMP1102,Thomas Howe,39,HR,68106.9,,Bangalore,3.0,invalid_email,
EMP1103,Mr. Chad Wallace,,HR,N/A,24,Bangalore,-3.0,,
EMP1104,Kevin Marshall,,Marketing,N/A,12,Pune,,ubeasley@cook.com,32-13-2024
EMP1105,Tara Bennett,,Support,253718.81,,Delhi,,invalid_email,
EMP1106,Monique Roth,,,,five,Bangalore,-3.0,curtisstuart@higgins-mcpherson.org,32-13-2024
EMP1107,Amy Jenkins,,HR,474331.01,-1,Pune,-3.0,invalid_email,
EMP1108,Paige Pierce,Unknown,HR,,-1,Pune,3.0,invalid_email,32-13-2024
EMP1109,Sheri Sanchez,59,UnknownDept,N/A,,,,,
EMP1110,Peggy Huff,Unknown,HR,,-1,,-3.0,invalid_email,
EMP1111,Madison Walker,,IT,96884.57,five,Chennai,8.0,invalid_email,2018-03-21
EMP1112,Nicholas Cole,59,Support,258463.23,18,,,,2023-08-13
EMP1113,Holly Salas,,IT,,22,Pune,,,32-13-2024
EMP1114,Eduardo White,Unknown,IT,,five,Chennai,15.0,wallacejorge@yahoo.com,32-13-2024
EMP1115,Mark Scott,Unknown,Support,N/A,10,Bangalore,,,
EMP1116,Joseph Smith,,HR,36763.72,five,???,,,32-13-2024
EMP1117,Gary Sanchez,,Sales,,five,Ahmedabad,,jacquelinefreeman@fisher.net,32-13-2024
EMP1118,Clayton Jimenez,Unknown,,120213.71,-1,Ahmedabad,,manningsteven@yahoo.com,2023-04-02
EMP1119,Mr. James Wolfe,57,UnknownDept,,,Pune,15.0,,2024-06-15
EMP1120,Jeremiah Carter,,Sales,105067.93,-1,Pune,-3.0,,2025-10-31
EMP1121,Aaron Grant,34,Sales,103353.27,22,Bangalore,5.0,invalid_email,
EMP1122,Alexandra Morse,,,456147.43,11,Chennai,7.0,reedanne@henderson-lee.com,32-13-2024
EMP1123,Mikayla Case,,IT,49190.04,-1,Bangalore,,invalid_email,
EMP1124,Scott Ali,Unknown,,80984.32,-1,Delhi,,invalid_email,2019-01-25
EMP1125,Brenda Rodriguez,37,Finance,215714.52,2,Ahmedabad,8.0,invalid_email,32-13-2024
EMP1126,Jason Johnson,Unknown,HR,N/A,21,Mumbai,15.0,invalid_email,32-13-2024
EMP1127,Robert Harrell IV,Unknown,HR,70294.57,11,Chennai,,gregory05@perry-carr.com,2025-12-14
EMP1128,Tammy Glover,Unknown,HR,324969.85,five,,,thomaselizabeth@hotmail.com,32-13-2024
EMP1129,Melody Crawford,30,Marketing,,five,Mumbai,-3.0,,2018-11-02
EMP1130,Thomas Henry,,,,8,,-3.0,invalid_email,32-13-2024
EMP1131,Elijah Cooper,,,,25,Ahmedabad,7.0,,32-13-2024
EMP1132,Ashley Mckinney,38,Support,,five,,-3.0,david80@hotmail.com,
EMP1133,Thomas Holland,Unknown,IT,149759.58,five,Ahmedabad,,,
EMP1134,Dr. Anthony Richardson,46,Sales,,five,,10.0,invalid_email,32-13-2024
EMP1135,Jessica Padilla,46,IT,269435.34,-1,Ahmedabad,4.0,invalid_email,
EMP1136,Linda Johnson,Unknown,HR,389732.6,-1,Ahmedabad,,bradley29@hotmail.com,32-13-2024
EMP1137,Thomas Perez,Unknown,Marketing,,-1,Ahmedabad,15.0,,
EMP1138,Katherine White,58,IT,123180.53,,Chennai,-3.0,,
EMP1139,Dawn Jackson,,,124476.02,-1,???,-3.0,,2025-07-30
EMP1140,Leslie Hines,,IT,,,Delhi,-3.0,,2024-05-10
EMP1141,Regina Petersen,37,Finance,N/A,-1,Bangalore,15.0,brian26@gmail.com,
EMP1142,Noah Snyder,Unknown,IT,N/A,,Mumbai,15.0,mooneyclinton@norton.info,2017-02-11
EMP1143,George Lang,Unknown,Marketing,113296.11,19,,15.0,amberjames@scott.com,
EMP1144,Raymond Baker,,Finance,N/A,five,Chennai,-3.0,,2017-09-28
EMP1145,Scott Freeman,Unknown,Support,,,Pune,6.0,invalid_email,2018-08-27
EMP1146,Elizabeth King,,Support,,five,Chennai,,beardricky@bright.com,2020-06-04
EMP1147,Larry Hendricks,Unknown,Finance,440747.08,0,Pune,-3.0,,32-13-2024
EMP1148,Aaron Landry,21,Sales,302784.2,9,Bangalore,-3.0,,32-13-2024
EMP1149,Katrina Warner,,UnknownDept,N/A,-1,Bangalore,-3.0,,
